id,pattern_name,image_url,created_at
013c9254-2ea6-4bc0-b9ce-41ca781b20cf,B039,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961333573_B039.jpg,2026-01-21 02:08:53.055402+00
016468f1-92a1-4754-9e46-c4aa84bcaec6,C026,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961807099_C026.jpg,2026-01-21 02:16:46.808616+00
071c0282-7cb7-43fd-bd50-ee82dfbcafa5,B001,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961304573_B001.jpg,2026-01-21 02:08:26.606136+00
09281c48-d741-490f-9a48-9fdbdb7c03b7,C037,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961813457_C037.jpg,2026-01-21 02:16:53.074486+00
095b0bce-0ed6-43d9-b468-f07a9e7e5a78,B034,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961330774_B034.jpg,2026-01-21 02:08:50.430805+00
0ad8c444-cd3c-4333-b820-df71fce6b593,L003,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962118462_L003.jpg,2026-01-21 02:21:57.969224+00
0ddd904f-73e1-4abd-95f8-15905b1e1e81,L002,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962118025_L002.jpg,2026-01-21 02:21:57.505916+00
10048c28-586b-4c69-9437-31e9260ccce8,A013,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960209865_A013.jpg,2026-01-21 01:50:09.737382+00
124235d8-fef1-40f2-8366-4056d38ddb08,C020,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961803928_C020.jpg,2026-01-21 02:16:43.466341+00
1507107b-fffb-4daa-892e-4117e3eecfcd,B012,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961317804_B012.jpg,2026-01-21 02:08:37.48146+00
1541f483-8216-4bf2-9537-45f630eb0f9f,F001,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768965983176_F001.jpg,2026-01-21 03:26:23.41277+00
163695a3-91f2-423c-a0d0-03c654d5396b,C032,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961810111_C032.jpg,2026-01-21 02:16:50.321419+00
171a09c7-7d60-43c0-a311-82f9103d5c8a,B028,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961327684_B028.jpg,2026-01-21 02:08:47.258179+00
18e841a3-c635-41ae-9d1c-034e161b3d93,C001,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961790748_C001.jpg,2026-01-21 02:16:31.973025+00
193552a3-a018-49fb-a78d-636567c4c1ae,G006,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962269828_G006.jpg,2026-01-21 02:24:29.25314+00
19b56cf3-4930-45c8-ba20-021dd1aee130,B037,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961332508_B037.jpg,2026-01-21 02:08:52.204812+00
1c5004cc-d4ea-426e-a528-a6d7f29085d5,B002,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961307638_B002.jpg,2026-01-21 02:08:27.682267+00
2209194f-0104-4c0b-a15f-03c400c21a63,A021,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960212630_A021.jpg,2026-01-21 01:50:12.332787+00
2279bffe-6fdb-4b5f-ad9e-c05228d04441,D007,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962020196_D007.jpg,2026-01-21 02:20:19.724878+00
23d21c90-9918-43e9-9421-3050f8f7c808,B030,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961328675_B030.jpg,2026-01-21 02:08:48.22738+00
264ae9d8-f93d-4569-86d6-5b9b73f28ccc,B035,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961331362_B035.jpg,2026-01-21 02:08:51.113057+00
26b390c0-c94c-4c78-b8d6-30c298aae19f,B027,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961327182_B027.jpg,2026-01-21 02:08:46.753793+00
26c753d7-94cd-4306-a3d0-4a21c06a3b01,B018,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961321862_B018.jpg,2026-01-21 02:08:41.609379+00
287e241a-72fd-4cff-9cf6-b2d1a67020b2,B016,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961320440_B016.jpg,2026-01-21 02:08:40.29077+00
2a23e610-8c41-465c-ab1e-14cbd365cd13,A006,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960204880_A006.jpg,2026-01-21 01:50:04.778902+00
2d076ef4-ba1a-4c93-a968-995097c09d59,C040,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961814875_C040.jpg,2026-01-21 02:16:54.46775+00
2d608c8d-9dba-4b48-923b-18e42950fa72,D004,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962018927_D004.jpg,2026-01-21 02:20:18.351233+00
31b1ed20-1aa1-44cf-a1b4-8ea31ab66b88,A024,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960214514_A024.jpg,2026-01-21 01:50:14.237813+00
32e952cf-b4e0-4ea6-a25d-5a1cae9b4931,C035,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961812465_C035.jpg,2026-01-21 02:16:51.964793+00
33281f44-84ca-47c3-8742-c4ead6b5560f,L004,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962118921_L004.jpg,2026-01-21 02:21:58.353601+00
35d90a81-9679-4349-973e-a46e6cad58e5,C008,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961797321_C008.jpg,2026-01-21 02:16:36.871046+00
35eac704-0dac-4c75-8200-704cfc00bf88,L005,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768962119302_L005.jpg,2026-01-21 02:21:58.756409+00
3939ca58-97a4-4936-8244-ae2f4eb2a104,B025,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961326219_B025.jpg,2026-01-21 02:08:45.74977+00
39cfc312-fafa-48aa-b9db-a058065f1f78,B009,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768961315379_B009.jpg,2026-01-21 02:08:35.424097+00
3a422d8d-da3c-4468-9c2a-71b3ec04224b,A029,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/patterns/1768960215676_A029.jpg,2026-01-21 01:50:15.321235+00
