product_code,product_name,product_type,product_category,storage_location,rubber_code,is_active,image_url,legacy_id,created_at,updated_at
110000290,ไม้บรรทัดเรขาคณิต RLD4 สีม่วง,FINISHPRODUCT,FIBERLASER,4KBแถว07ชั้น2,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000290-1768884641644.jpg,8071,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000291,ไม้บรรทัดเรขาคณิต RLD5 สีดำ,FINISHPRODUCT,FIBERLASER,4KBแถว07ชั้น1,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000291-1768884641958.jpg,8072,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000292,ยางลบ 4B,FINISHPRODUCT,ETC,4KBแถว03ชั้น6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000292-1768884642347.jpg,8073,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000293,ยางลบ 4B ช้าง,FINISHPRODUCT,ETC,4KBแถว08ชั้น3,,true,,8074,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000294,ยางลบคัตเตอร์ RBB01 สีเทา,FINISHPRODUCT,FIBERLASER,3KBแถว2ชั้น8,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000294-1768884642699.jpg,8075,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000295,ยางลบคัตเตอร์ RBB02 สีฟ้า,FINISHPRODUCT,FIBERLASER,3KBแถว2ชั้น7,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000295-1768884643065.jpg,8076,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000296,ยางลบคัตเตอร์ RBB03 สีเหลือง,FINISHPRODUCT,FIBERLASER,3KBแถว2ชั้น6,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000296-1768884643422.jpg,8077,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000297,ยางลบคัตเตอร์ RBB04 สีชมพู,FINISHPRODUCT,FIBERLASER,3KBแถว2ชั้น5,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000297-1768884643760.jpg,8078,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000298,ยางลบคัตเตอร์ RBC01 สีม่วง,FINISHPRODUCT,FIBERLASER,3KBแถว2ชั้น4,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000298-1768884644090.jpg,8079,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
110000299,ยางลบคัตเตอร์ RBC02 สีเหลือง,FINISHPRODUCT,FIBERLASER,3KBแถว2ชั้น3,,true,https://scxcuwjhjbkxvqmpywqs.supabase.co/storage/v1/object/public/product-images/products/110000299-1768884644428.jpg,8080,2025-11-17 03:42:19.22824+00,2025-11-17 03:42:19.22824+00
